id	name	type	keywords	features	address	open_time
place_001	北京邮电大学	校园	["大学", "教育", "科技", "通信", "校园"]	["信息科技", "通信特色", "创新研究", "学术氛围"]	北京市海淀区西土城路10号	校园参观时间：09:00-17:00（需预约）
place_002	清华大学	校园	["大学", "教育", "工程", "科技", "研究"]	["工程技术", "自然科学", "创新研究", "国际化"]	北京市海淀区清华园1号	校园参观时间：09:00-17:00（需预约）
place_003	北京大学	校园	["大学", "教育", "文理", "学术", "历史"]	["文理并重", "学术自由", "历史悠久", "人文荟萃"]	北京市海淀区颐和园路5号	校园参观时间：09:00-17:00（需预约）
place_004	中国人民大学	校园	["大学", "教育", "人文", "社科", "法学"]	["人文社科", "法学强势", "马克思主义", "社会科学"]	北京市海淀区中关村大街59号	校园参观时间：09:00-17:00（需预约）
place_005	北京交通大学	校园	["大学", "教育", "交通", "工程", "轨道"]	["交通特色", "轨道交通", "工程技术", "行业领先"]	北京市海淀区上园村3号	校园参观时间：09:00-17:00（需预约）
place_006	北京工业大学	校园	["大学", "教育", "工科", "技术", "创新"]	["工科优势", "多学科", "产学研", "创新实践"]	北京市朝阳区平乐园100号	校园参观时间：09:00-17:00（需预约）
place_007	北京航空航天大学	校园	["大学", "教育", "航空", "航天", "工程"]	["航空航天", "工程技术", "国防科技", "创新研发"]	北京市海淀区学院路37号	校园参观时间：09:00-17:00（需预约）
place_008	北京理工大学	校园	["大学", "教育", "理工", "国防", "科技"]	["理工强势", "国防科技", "军工特色", "科技创新"]	北京市海淀区中关村南大街5号	校园参观时间：09:00-17:00（需预约）
place_009	北京科技大学	校园	["大学", "教育", "材料", "冶金", "工程"]	["材料科学", "冶金工程", "工程技术", "产业特色"]	北京市海淀区学院路30号	校园参观时间：09:00-17:00（需预约）
place_010	北京化工大学	校园	["大学", "教育", "化工", "材料", "工程"]	["化工特色", "材料科学", "工程技术", "绿色化工"]	北京市朝阳区北三环东路15号	校园参观时间：09:00-17:00（需预约）
place_011	中国农业大学	校园	["大学", "教育", "农业", "生命科学", "食品"]	["农业科学", "生命科学", "食品工程", "生态环境"]	北京市海淀区圆明园西路2号	校园参观时间：09:00-17:00（需预约）
